,Produto,Preco
0,"Computador IntelCore i5, 3,2G, com HMDI, 500GB, Windows 10 e Wi-Fi",1659.0
1,Computador Pc Cpu Intel Core i5 Com Hdmi 16GB HD 500GB+SSD 240GB Windows 10 Wifi Desktop,2200.0
2,"Computador Core I5 Quad Core intel, 8GB Memoria, SSD 240GB ultra velocidade, Gabinete com fonte",1649.0
3,PC Gamer Roda Tudo AMD A6 3.8GHZ Placa de vídeo Radeon R5 2GB HD 500GB 8GB Skill,1310.0
4,"Computador Completo PC CPU Monitor 19.5"" HDMI Intel Core i3 6GB HD 500GB com teclado e mouse Desktop Wifi CorPC",1989.0
5,"Pc Cpu Intel Core I5 3º3470 3,2ghz+8gbram+ssd 240gb Promoção",1392.0
6,Computador Completo Intel Core i5 8gb SSD 240GB Monitor Hdmi,2889.0
7,"Computador Completo Home and Business Intel Core i3 RAM 4GB HD 500GB Monitor 19.5"" LED Quantum",1742.0
8,"Computador Desktop Completo Quantum Intel Core i3 6GB HD 500GB Monitor 19.5"" HDMI LED com mouse e teclado",2069.0
9,Computador Pc Cpu Intel Core i5 Com Hdmi 8GB HD 500GB Windows 10 Wifi Desktop,1299.0
10,Computador Intel Core I5 8gb Hd 1tb Melhor Custo Benefício,1377.0
11,"Computador Completo Intel Core i5 8GB SSD 240GB Monitor LED 19.5"" HDMI EasyPC Go",2499.0
12,"ZIXING Webcam de computador HD 1080p, câmera Web de ângulo ultra grande com microfone de redução de ruído, adequada para computadores de mesa, laptop, PC, jogos, rede, ensino de conferência",173.0
13,Sangmei Cabo HDMI 2.1 Cabo HD com 8K de resolução 4K a 120Hz Visão 3D 48Gbps Largura de banda para o computador Smart Box Projector 3m,159.0
14,"Prasacco Capa para monitor de computador PU 24""",97.0
15,"Computador Completo Intel Core i3 8GB SSD 240GB Monitor 19.5"" LED HDMI Áudio 5.1 canais Quantum Star",2429.0
16,"Computador Completo Intel Core i5 8GB SSD 480GB Windows 10 Monitor 19"" HDMI 3green ElitePC",3419.0
17,"Computador CorPC Intel Core i3 4GB DDR3, HD 500GB e Monitor LED 19.5",1819.0
18,Computador Completo Pc Cpu Monitor 19” Intel Core i3 Hdmi 4GB SSD 120GB Windows 10 com Teclado e Mouse Desktop,1899.0
19,Computador Pc Cpu Intel Core i5 Com HDMI 16GB HD SSD 240GB Windows 10 + Wifi Desktop AMAZOM,1989.0
20,"Computador All in One Dell Inspiron 5400-M10S 23.8"" Full HD 11ª G. Intel Core i5 8GB 256GB SSD Windows 10",5299.0
21,Computador Intel Core I5 8gb 240gb Ssd. Total,1326.0
22,Computador Intel Core i5 Com Hdmi 8GB HD 1TB Windows 10 Teclado Mouse Desktop Pc,1599.0
23,"All in One 24"" Full HD Intel Core i5 8GB SSD 240GB 3green Speed 2",4389.0
24,Computador Desktop Completo com Monitor LED HDMI Intel Core i5 8GB HD 500GB com caixas de som mouse e teclado CorPC Standard Plus,2549.0
25,"Computador Completo Intel Core i5 8GB HD 2TB Monitor 19.5"" LED HDMI Áudio 5.1 canais Quantum Star, 40220, Preto, Média",2639.0
26,Pc Gamer Fácil Intel Core I5 3470S 8Gb DDR3 GeForce GT 730 2Gb 128 bits HD 1 TB,2288.0
27,"Computador Completo Intel Core i5 8GB HD 1TB Monitor HDMI 19.5"" Áudio 5.1 canais PC CPU Windows 10 Quantum Slim Flex, 39827, Preto, Média",3319.0
28,"Pc Computador Gamer CPU, Ryzen 5 2400g, A320m, 16gb Ddr4, Ssd 240gb, 500w",3577.0
29,"Kit Computador All in One Dell Inspiron 5400-OS10SF 23.8"" FHD 11ª G Intel Core i5 8GB 256GB SSD Windows 10 Microsoft 365",5539.0
30,Pc Gamer Completo Maximus I5 GT 730 4GB 8GB Hd 1Tb Wi-fi,4199.0
31,Pc Gamer Bravus Intel i7 GTX 1650 16GB Hd 1TB SSD 120GB Wi-fi,8990.0
32,"Rato para jogos RGB sem fio, mouse de computador óptico USB de 2,4 GHz com RGB, 5 DPI ajustável até 3600, mouse de laptop ergonômico com 7 botões programáveis,rosa",159.0
33,Pc Gamer Completo Maximus I5 GT 730 4GB 8GB Hd 1Tb Wi-fi,4199.0
34,Pc Gamer Bravus Intel i7 GTX 1650 16GB Hd 1TB SSD 120GB Wi-fi,8990.0
35,"Rato para jogos RGB sem fio, mouse de computador óptico USB de 2,4 GHz com RGB, 5 DPI ajustável até 3600, mouse de laptop ergonômico com 7 botões programáveis,rosa",159.0
36,"Computador Completo Pc Cpu Monitor 19"" Intel Core i3 Turbo 4GB SSD 120GB Hdmi Windows 10 Teclado e Mouse Desktop",1899.0
37,"Computador All in One Dell Inspiron 5400-M10S 23.8"" Full HD 11ª G. Intel Core i5 8GB 256GB SSD Windows 10",5299.0
38,"Computador Completo Intel Core i5 8GB SSD 480GB Windows 10 Monitor 19"" HDMI 3green ElitePC",3419.0
39,"GABINETE MID-TOWER TERRA 2 FANS com LATERAL ACRILICA PRETO - TERPT2FCA, PCYes, 32077",339.0
40,"Caixa Acústica para Computador Speaker Round 8W USB/P2, Newex, SK100, Outros Acessórios para Notebooks, Black",56.0
