,Produto,Preco
0,"Computador Desktop Completo com Monitor LED HDMI Intel Core i5 8GB HD 500GB com caixas de som mouse e teclado EasyPC Standard Plus
",2510.09
1,"Computador Desktop CorPC Pro Intel Core I5 8gb HD 2TB com teclado, mouse e caixas de som HDMI FULL HD
",2221.79
2,"Computador Completo Home and Business Intel Core i3 RAM 4GB HD 500GB Monitor 19.5"" LED Quantum
",1989.29
3,"PC Gamer Completo AMD 6-Core CPU 3.8Ghz 8GB (Placa de vídeo Radeon R5 2GB) SSD 120GB Kit Gamer Skill Monitor HDMI LED 19.5""
",2799.99
4,"Computador Desktop Intel Core i5 16GB SSD 480GB CorPC Fast
",2472.89
5,"Computador All in One LG 21.5"" FULL HD Windows 10 Home Celeron 4GB RAM e 500GB HD
",2799.0
6,"Computador Completo Intel Dual Core 4GB HD 500GB Monitor 19.5"" HDMI Full HD Áudio 5.1 canais Skill DC
",1969.99
7,"Computador Completo com Monitor LED 15.6""Intel Core 2 Duo 4GB HD 160GB - Teclado - Mouse
",1789.9
8,"Computador Desktop EasyPC Station Intel Core i5 4GB HD 500GB HDMI FullHD Áudio 5.1
",1477.79
9,"Computador Desktop Intel Dual Core 2.58ghz 4GB HD 160GB
",719.9
10,"Computador Desktop CorPC Intel Core i5 4GB HD 500GB Mouse Teclado e Caixa de som
",1477.79
11,"Computador Completo Intel 2,58Ghz 8GB HD 1TB Monitor 19.5"" HDMI LED Áudio 5.1 canais Slim Skill
",2449.99
12,"Computador Desktop CorPC Extreme Intel Core i7 3.8Ghz 16GB HD 3TB HDMI Full HD Wifi
",3429.99
13,"Computador Positivo Dual Core 4GB 500GB Tela Full HD 21.5” Windows 10 All in One Union C4500A21
",2199.0
14,"Computador Completo Intel Core i7 16GB SSD 480GB Monitor Full HD 21.5"" HDMI CorPC Fast
",4258.49
15,"Computador Desktop Intel Core i5 8GB SSD 240GB CorPC Fast
",1784.69
16,"Computador Pc Cpu Completo Monitor 18” Intel Core i5 Hdmi 8GB HD 500GB Windows 10 com Teclado e Mouse Desktop
",2417.41
17,"Computador All in One Dell Inspiron 5400-M10S 23.8"" Full HD 11ª G. Intel Core i5 8GB 256GB SSD Windows 10
",5299.0
18,"Computador Completo Intel 2,58Ghz 4GB HD 500GB Monitor 19.5"" HDMI LED Áudio 5.1 canais Slim Skill
",2049.99
19,"Computador Completo Intel Core i5 16GB SSD 240GB Monitor LED 19.5"" HDMI CorPC Fast
",3058.79
20,"Computador I5 8gb HD 500GB
",1499.99
21,"COMPUTADOR HOME CPU iNTEL DUAL CORE 4GB MEMÓRIA HD 160GB WIFI INTEGRADO
",999.0
22,"Computador Gamer Completo com Monitor LED Intel Core i5 8GB HD 500GB (Nvidia Geforce GT) Kit gamer com mousepad EasyPC Light
",3291.29
23,"Computador Desktop Intel Core i7 16GB SSD 480GB CorPC Fast
",3161.09
24,"Computador Intel Core i5 8GB HD 500GB Monitor LED 19.5"" HDMI CorPC
",2510.09
25,"Computador Home H100 - Celeron Dual Core J1800 2.41GHZ 4GB DDR3 Sodimm sem HD/SSD HDMI/VGA Fonte 200W - HJ18004
",1092.96
26,"Computador Completo Intel Core i5 4GB SSD 120GB Mouse teclado mousepad Monitor 19"" HDMI Quantum Premium
",2714.69
27,"Computador Desktop Completo Intel Core i3 3.10GHZ 6Gb de Memória Ram Ddr3 Hd 500Gb Sata 3 com SSD 240Gb Monitor Led 19`
",2090.9
28,"Computador Intel 8Gb Ram Hd 500Gb Monitor Teclado E Mouse
",2364.99
29,"Computador EasyPC Standard Intel Core i3 4GB DDR3 HD 500GB HDMI FullHD audio 5.1 Monitor LED 19.5
",1989.29
30,"Computador Desktop Lenovo ThinkCentre M75q Tiny Ryzen 3 Pro 4GB 500GB Win 10 Pro 11A5001JBP Preto
",3499.0
31,"Computador Desktop Lenovo M920q Tiny i3-9100T 4GB 500GB Win10Pro 10RR0036BO Preto
",3549.0
32,"Computador Intel Core i7 8GB HD 1TB Mouse teclado mousepad Quantum Premium
",3289.99
33,"Computador Desktop Dell Vostro 3681-M20M 10ª Geração Intel Core i5 8GB 1TB Windows 10 com Monitor 21""
",4979.0
34,"Computador Completo Intel Core i7 16GB HD 3TB Monitor LED 19.5"" HDMI EasyPC Go
",3719.99
35,"Computador All in One Hometech HTAW-2F2009 Intel Celeron J1900 4Gb SSD 120Gb 21,5? Windows 10
",2779.0
36,"Computador Desktop Icc Intel Core I5 4° Gen 8gb Ssd 120gb
",2005.9
37,"Computador Typer AMD A4 8GB+SSD 240 Pacote Office
",1659.0
38,"Computador Completo Fácil Slim Intel 4GB HD 500GB Monitor 15"" HDMI LED Teclado e Mouse
",1949.0
39,"Computador Completo Fácil Slim Intel 4GB SSD 120GB Monitor 15"" HDMI LED Teclado e Mouse
",1969.0
40,"Computador De Mesa Completo Intel I3 8Gb Ssd 240Gb
",2799.0
41,"Computador Completo Fácil Slim Intel 4GB HD 1TB Monitor 15"" HDMI LED Teclado e Mouse
",2189.0
42,"Computador Completo Fácil Slim Intel 4GB SSD 120GB Monitor 19"" HDMI LED Teclado e Mouse
",2019.0
43,"Computador Desktop Corporate Intel Core I7 3° Gen 8gb Ssd 240gb
",2677.99
44,"Computador Fácil Slim Intel 4GB HD 1TB
",1339.0
45,"COMPUTADOR INTEL DUAL CORE 2.41GHZ 4GB DDR3 HD250Gb
",1149.8
46,"Computador Completo Fácil Slim Intel 4GB SSD 240GB Monitor 15"" HDMI LED Teclado e Mouse
",2099.0
47,"Computador PC CPU Intel Core i5 2ªG 8GB HD 500GB Win 10
",1825.39
48,"Computador Fácil Slim Intel 4GB SSD 240GB
",1269.0
49,"Computador Completo Intel I3 8Gb Hd 500 Gb
",2440.0
50,"Computador PC CPU Intel Core i5 2ªG 8GB HD SSD240 Win 10
",1937.35
51,"Computador PC CPU Intel Core i5 2ªG 8GB HD 500GB Win 10
",1827.35
52,"Computador PC CPU Intel Core i5 2ªG 4GB HD 120SSD Win 10
",1691.56
53,"Computador Completo Intel 8Gb Hd 500Gb
",1311.99
54,"Computador PC CPU Intel Core i5 2ªG 8GB SSD 240GB HD 1TB Win 10
",2250.17
55,"Computador Completo Fácil Slim Intel 4GB SSD 240GB Monitor 19"" HDMI LED Teclado e Mouse
",2119.0
56,"Computador Desktop Icc Intel Core I3 4° Gen 8gb Ssd 120gb
",1729.45
57,"Computador Completo Intel I3 4Gb Hd 500 Gb
",2270.0
58,"Computador Completo Intel I3 8Gb Hd 500
",2390.0
59,"Computador Fácil Slim Intel 4GB HD 500GB
",1149.0
60,"Computador PC CPU Intel Core i5 2ªG 4GB HD 500GB Win 10
",1665.34
61,"Computador PC CPU Intel Core i5 2ªG 8GB SSD 120GB HD 1TB Win 10
",2147.69
62,"Computador Desktop Icc Intel Core I7 3° Gen 8gb Hd 1tb
",2718.75
63,"Computador PC CPU Intel Core i5 2ªG 8GB HD 1TB Win 10
",1957.93
64,"Computador Fácil Slim Intel 4GB SSD 120GB
",1159.0
65,"Computador Completo Intel I3 8Gb Ssd 120Gb
",2599.0
66,"Computador PC CPU Intel Core i5 2ªG 4GB HD SSD240 Win 10
",1805.3
67,"Computador PC CPU Intel Core i5 2ªG 4GB HD SSD240 Win 10
",1806.45
68,"Computador PC CPU Intel Core i5 2ªG 4GB HD 1TB Win 10
",1826.39
69,"Computador PC CPU Intel Core i5 2ªG 8GB SSD 240GB HD 1TB Win 10
",2252.36
70,"Computador Business B300 - I3-6100 3.7GHZ 4GB DDR3 SSD 120GB HDMI/VGA Fonte 200W
",2518.56
71,"Computador PC CPU Intel Core i5 2ªG 8GB HD SSD120 Win 10
",1827.11
72,"Computador Completo Fácil Slim Intel 4GB HD 500GB Monitor 19"" HDMI LED Teclado e Mouse
",1989.0
73,"Computador Corporate Intel Core I7 3° Gen 8gb Hd 1tb
",2718.75
74,"Computador Desktop Icc Intel Core I3 4° Gen 8gb Ssd 240gb
",1854.49
75,"Computador Completo Intel I5 8Gb Hd 500 Gb
",2749.0
76,"Computador PC CPU Intel Core i5 2ªG 8GB SSD 120GB HD 1TB Win 10
",2151.69
77,"Computador Desktop Icc Intel Core I7 4° Gen 8gb Ram Ssd 120gb
",2753.79
