,Produto,Preco
161,"Computador Business B100 Mini - Celeron Dual Core J1800 2.41GHZ 4GB DDR3 Sodimm sem HD hdmi/vga
",1766.07
1040,"Computador Icc Processador Amd Fm2 A8 6gb de Ram Ssd 120 Gb Dvdrw
",1574.79
221,"Mesa de computador/Escrivaninha - Prática Branca (1 gaveta)
",1301.07
39,"Computador Intel Core i5 Com Hdmi 8GB HD 500GB Windows 10 Pro Wifi Desktop Pc
",1487.07
1018,"Computador Pc Cpu Intel Core I3 4GB HD 1TB Windows 10 Pro Hdmi Desktop
",1565.72
372,"Computador Flex Computer Intel Core i3 4GB SSD 240Gb Com Kit
",1359.51
303,"Computador Flex Computer Dynamic Intel Core i3 3.0Ghz 4Gb Memória Ram Ddr3 Hd 1Tb Sata 3
",1485.21
363,"Computador Flex Computer Dynamic Intel Core i3 3.0Ghz 4Gb Memória Ram Ddr3 Hd 1Tb Sata 3 Kit Teclado e Mouse
",1231.12
658,"Computador Flex Computer Intel Core I5-2400S 6Gb HD 500Gb Com Kit
",1626.57
339,"Computador Slim Intel Core i3 Série 2, RAM 4GB, SSD 120GB, Windows 10 Pro
",1293.11
1177,"Computador Desktop Core i3 3ª Geração 4Gb Ram SSD 240Gb Wifi HDMI + Teclado e Mouse
",1434.84
731,"Computador Flex Computer Intel Core I3-2100 10GB HD 1Tb
",1672.14
609,"Mesa de Computador Pratica com Gaveta cor Branco
",1291.15
856,"Computador Flex Computer Dynamic Intel Core i3 3.0Ghz 8Gb Memória Ram Ddr3 Hd 1Tb Sata 3 Kit Teclado e Mouse
",1521.2
741,"Computador Flex Computer Intel Core I3-2100 10GB SSD 240Gb
",1580.07
172,"Computador Intel Core i3 Com Hdmi 4GB ssd 120GB Windows 10 Desktop Pc
",1789.08
618,"Computador Flex Computer Intel Core I3-2100 8GB SSD 120Gb Com Kit e DVDRW
",1390.34
810,"Computador Cpu Intel Core I5 4gb SSD 480gb
",1507.92
376,"Computador Pc Cpu Intel Core i5 3.2Ghz 8GB ssd 240GB HD 1TB Hdmi Windows 10 Pro Wifi
",1362.06
360,"Computador Elgin Newera E3 Nano J1800 4GB SSD120GB 2 Seriais
",1580.07
620,"Computador Icc Processador Amd Fm2 A8 6gb de Ram Hd 500gb
",1424.65
721,"Computador Flex Computer Intel Core I3-2100 10GB HD 500Gb Com Kit e DVDRW
",1310.85
68,"Computador All in One Dell Inspiron 5400-PS10S 23.8"" FHD 11ª G. Intel Core i5 8GB 256GB SSD Windows 10 Suporte Premium
",5104.77
514,"Computador 1027 Celeron J1800 4GB 120GB SSD Linux - NTC
",1363.08
